payload/linux/mipsle/meterpreter_reverse_tcp                                                normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/ppc/meterpreter_reverse_tcp                                                   normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/ppc64le/meterpreter_reverse_tcp                                               normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/ppce500v2/meterpreter_reverse_tcp                                             normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/x64/meterpreter_reverse_tcp                                                   normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/x86/meterpreter_reverse_tcp                                                   normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/zarch/meterpreter_reverse_tcp                                                 normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/aarch64/meterpreter/reverse_tcp                                               normal     No     Linux Meterpreter, Reverse TCP Stager
payload/linux/armle/meterpreter/reverse_tcp                                                 normal     No     Linux Meterpreter, Reverse TCP Stager
payload/linux/mipsbe/meterpreter/reverse_tcp                                                normal     No     Linux Meterpreter, Reverse TCP Stager
payload/linux/mipsle/meterpreter/reverse_tcp                                                normal     No     Linux Meterpreter, Reverse TCP Stager
payload/linux/x64/meterpreter/bind_tcp                                                      normal     No     Linux Mettle x64, Bind TCP Stager
payload/linux/x64/meterpreter/reverse_tcp                                                   normal     No     Linux Mettle x64, Reverse TCP Stager
payload/linux/x86/meterpreter/bind_ipv6_tcp                                                 normal     No     Linux Mettle x86, Bind IPv6 TCP Stager (Linux x86)
payload/linux/x86/meterpreter/bind_ipv6_tcp_uuid                                            normal     No     Linux Mettle x86, Bind IPv6 TCP Stager with UUID Support (Linux x86)
payload/linux/x86/meterpreter/bind_nonx_tcp                                                 normal     No     Linux Mettle x86, Bind TCP Stager
payload/linux/x86/meterpreter/bind_tcp                                                      normal     No     Linux Mettle x86, Bind TCP Stager (Linux x86)
payload/linux/x86/meterpreter/bind_tcp_uuid                                                 normal     No     Linux Mettle x86, Bind TCP Stager with UUID Support (Linux x86)
payload/linux/x86/meterpreter/find_tag                                                      normal     No     Linux Mettle x86, Find Tag Stager
payload/linux/x86/meterpreter/reverse_nonx_tcp                                              normal     No     Linux Mettle x86, Reverse TCP Stager
payload/linux/x86/meterpreter/reverse_tcp                                                   normal     No     Linux Mettle x86, Reverse TCP Stager
payload/linux/x86/meterpreter/reverse_tcp_uuid                                              normal     No     Linux Mettle x86, Reverse TCP Stager
payload/linux/x86/meterpreter/reverse_ipv6_tcp                                              normal     No     Linux Mettle x86, Reverse TCP Stager (IPv6)
payload/linux/x86/read_file                                                                 normal     No     Linux Read File
payload/linux/mipsbe/reboot                                                                 normal     No     Linux Reboot
payload/linux/mipsle/reboot                                                                 normal     No     Linux Reboot
payload/linux/armle/shell/bind_tcp                                                          normal     No     Linux dup2 Command Shell, Bind TCP Stager
payload/linux/aarch64/shell/reverse_tcp                                                     normal     No     Linux dup2 Command Shell, Reverse TCP Stager
payload/linux/armle/shell/reverse_tcp                                                       normal     No     Linux dup2 Command Shell, Reverse TCP Stager
payload/linux/x64/shell_bind_ipv6_tcp                                                       normal     No     Linux x64 Command Shell, Bind TCP Inline (IPv6)
payload/linux/x64/shell_reverse_ipv6_tcp                                                    normal     No     Linux x64 Command Shell, Reverse TCP Inline (IPv6)
payload/linux/x64/pingback_bind_tcp                                                         normal     No     Linux x64 Pingback, Bind TCP Inline
payload/linux/x64/pingback_reverse_tcp                                                      normal     No     Linux x64 Pingback, Reverse TCP Inline
payload/osx/x86/bundleinject/bind_tcp                                                       normal     No     Mac OS X Inject Mach-O Bundle, Bind TCP Stager
payload/osx/x86/bundleinject/reverse_tcp                                                    normal     No     Mac OS X Inject Mach-O Bundle, Reverse TCP Stager
payload/osx/x86/isight/bind_tcp                                                             normal     No     Mac OS X x86 iSight Photo Capture, Bind TCP Stager
payload/osx/x86/isight/reverse_tcp                                                          normal     No     Mac OS X x86 iSight Photo Capture, Reverse TCP Stager
payload/netware/shell/reverse_tcp                                                           normal     No     NetWare Command Shell, Reverse TCP Stager
payload/osx/x86/vforkshell_bind_tcp                                                         normal     No     OS X (vfork) Command Shell, Bind TCP Inline
payload/osx/x86/vforkshell/bind_tcp                                                         normal     No     OS X (vfork) Command Shell, Bind TCP Stager
payload/osx/x86/vforkshell_reverse_tcp                                                      normal     No     OS X (vfork) Command Shell, Reverse TCP Inline
payload/osx/x86/vforkshell/reverse_tcp                                                      normal     No     OS X (vfork) Command Shell, Reverse TCP Stager
payload/osx/ppc/shell_bind_tcp                                                              normal     No     OS X Command Shell, Bind TCP Inline
payload/osx/x86/shell_bind_tcp                                                              normal     No     OS X Command Shell, Bind TCP Inline
payload/osx/armle/shell/bind_tcp                                                            normal     No     OS X Command Shell, Bind TCP Stager
payload/osx/ppc/shell/bind_tcp                                                              normal     No     OS X Command Shell, Bind TCP Stager
payload/osx/x86/shell_find_port                                                             normal     No     OS X Command Shell, Find Port Inline
payload/osx/ppc/shell/find_tag                                                              normal     No     OS X Command Shell, Find Tag Stager
payload/osx/ppc/shell_reverse_tcp                                                           normal     No     OS X Command Shell, Reverse TCP Inline
payload/osx/x86/shell_reverse_tcp                                                           normal     No     OS X Command Shell, Reverse TCP Inline
payload/osx/armle/shell/reverse_tcp                                                         normal     No     OS X Command Shell, Reverse TCP Stager
payload/osx/ppc/shell/reverse_tcp                                                           normal     No     OS X Command Shell, Reverse TCP Stager
payload/osx/x86/exec                                                                        normal     No     OS X Execute Command
payload/osx/armle/execute/bind_tcp                                                          normal     No     OS X Write and Execute Binary, Bind TCP Stager
payload/osx/armle/execute/reverse_tcp                                                       normal     No     OS X Write and Execute Binary, Reverse TCP Stager
payload/osx/x64/dupandexecve/bind_tcp                                                       normal     No     OS X dup2 Command Shell, Bind TCP Stager
payload/osx/x64/dupandexecve/reverse_tcp                                                    normal     No     OS X dup2 Command Shell, Reverse TCP Stager
payload/osx/x64/dupandexecve/reverse_tcp_uuid                                               normal     No     OS X dup2 Command Shell, Reverse TCP Stager with UUID Support (OSX x64)
payload/osx/x64/exec                                                                        normal     No     OS X x64 Execute Command
payload/osx/x64/shell_bind_tcp                                                              normal     No     OS X x64 Shell Bind TCP
payload/osx/x64/shell_reverse_tcp                                                           normal     No     OS X x64 Shell Reverse TCP
